mpi
128,1024,62.63,0,9.88246e-05
256,1024,31.53,0,9.88246e-05
512,1024,15.88,0,9.88246e-05
125,1024,64.67,0,9.88246e-05
216,1024,37.84,0,9.88246e-05
128,1536,210.48,0,4.39233e-05
256,1536,105.81,0,4.39233e-05
512,1536,53.27,0,4.39233e-05
125,1536,218.58,0,4.39233e-05
216,1536,125.32,0,4.39233e-05
128,512,7.9,0,0.000395282
256,512,3.99,0,0.000395282
512,512,2.01,0,0.000395282
125,512,8.33,0,0.000395282
216,512,4.83,0,0.000395282

mpimp
128,1024,22.59,0,9.88246e-05
256,1024,11.52,0,9.88246e-05
512,1024,5.73,0,9.88246e-05
125,1024,22.96,0,9.88246e-05
216,1024,13.65,0,9.88246e-05
128,1536,76.11,0,4.39233e-05
256,1536,37.82,0,4.39233e-05
512,1536,18.96,0,4.39233e-05
125,1536,78.91,0,4.39233e-05
216,1536,44.67,0,4.39233e-05
128,512,2.85,0,0.000395282
256,512,1.45,0,0.000395282
512,512,0.71,0,0.000395282
125,512,2.99,0,0.000395282
216,512,1.78,0,0.000395282
