Wavelength,A,B,C,D,X,Y,Z,Red-1,Red,Green,Blue,CIE-A,CIE-B,CIE-C,D50,D55,D65,D93,CIE-E
590,89.1,-3.5,2.1,0.811587,1.0263,0.757,0.0011,58.4320151,2.6725,0.47675,-0.007021,121.731,99.2,93.2,93.5,91.43,88.6856,85.25,100
595,89.8,-4.65,2.65,0.754479,1.0567,0.6949,0.001,58.3650195,2.8093,0.38484,-0.0057437,125.386,98.44,91.22,95.6,92.93,89.3459,84.76,100
600,90.5,-5.8,3.2,0.691855,1.0622,0.631,0.0008,57.2325246,2.8717,0.30069,-0.0042743,129.043,98,89.7,97.7,94.42,90.0062,84.27,100
605,90.4,-6.5,3.65,0.627007,1.0456,0.5668,0.0006,55.182113,2.8525,0.22853,-0.0029132,132.697,98.08,88.83,98.5,94.78,89.8026,83.38,100
610,90.3,-7.2,4.1,0.558375,1.0026,0.503,0.00034,52.05119782,2.7601,0.16575,-0.0022693,136.346,98.5,88.4,99.3,95.14,89.5991,82.5,100
615,89.35,-7.9,4.4,0.489595,0.9384,0.4412,0.00024,48.08871072,2.5989,0.11373,-0.0019966,139.988,99.06,88.19,99.2,94.68,88.6489,80.84,100
620,88.4,-8.6,4.7,0.42299,0.8544499,0.381,0.00019,43.3457348454,2.3743,0.074682,-0.0015069,143.618,99.7,88.1,99,94.22,87.6987,79.18,100
625,86.2,-9.05,4.9,0.360924,0.7514,0.321,0.0001,37.8191447,2.1054,0.046504,-0.00093822,147.235,100.36,88.06,97.4,92.33,85.4936,76.52,100
630,84,-9.5,5.1,0.298086,0.6424,0.265,0.00005,32.13228205,1.8145,0.026333,-0.00055316,150.836,101,88,95.7,90.45,83.2886,73.86,100
635,84.55,-10.2,5.9,0.24169,0.5419,0.217,0.00003,26.96620439,1.5247,0.012724,-0.00031668,154.418,101.56,87.86,97.3,91.39,83.4939,73.45,100
640,85.1,-10.9,6.7,0.194312,0.4479,0.175,0.00002,22.19584706,1.2543,0.0045033,-0.00014319,157.979,102.2,87.8,98.8,92.33,83.6992,73.03,100
645,83.5,-10.8,7,0.15474,0.3608,0.1382,0.00001,17.82067553,1.0076,0.000096611,-4.0831E-06,161.516,103.05,87.99,97.3,90.59,81.863,71.36,100
650,81.9,-10.7,7.3,0.119312,0.2835,0.107,0,13.96881,0.78642,-0.0019645,0.00011081,165.028,103.9,88.2,95.7,88.85,80.0268,69.69,100
655,82.25,-11.35,7.95,0.0897959,0.2187,0.0816,0,10.7558874,0.59659,-0.0026327,0.00019175,168.51,104.59,88.2,97,89.59,80.1207,69.19,100
660,82.6,-12,8.6,0.0667104,0.1649,0.061,0,8.0987524,0.4432,-0.0026262,0.00022656,171.963,105,87.9,98.2,90.32,80.2146,68.69,100
665,83.75,-13,9.2,0.048997,0.1212,0.04458,0,5.94709806,0.3241,-0.0023027,0.0002152,175.383,105.08,87.22,100.6,92.13,81.2462,68.74,100
670,84.9,-14,9.8,0.0355998,0.0874,0.032,0,4.2854444,0.23455,-0.00187,0.00016361,178.769,104.9,86.3,103,93.95,82.2778,68.79,100
675,83.1,-13.8,10,0.0255422,0.0636,0.0232,0,3.11664,0.16884,-0.0014424,0.000097164,182.118,104.55,85.3,101.1,91.95,80.281,67.05,100
680,81.3,-13.6,10.2,0.0180794,0.04677,0.017,0,2.29061442,0.12086,-0.0010755,0.000051033,185.429,103.9,84,99.1,89.96,78.2842,65.31,100
685,76.6,-12.8,9.25,0.0126157,0.0329,0.01192,0,1.61049604,0.085811,-0.00079004,0.000035271,188.701,102.84,82.21,93.3,84.82,74.0027,61.73,100
690,71.9,-12,8.3,0.00866128,0.0227,0.00821,0,1.11088627,0.06026,-0.00056765,0.000031211,191.931,101.6,80.2,87.4,79.68,69.7213,58.14,100
695,73.1,-12.65,8.95,0.00602768,0.01584,0.005723,0,0.775047681,0.04148,-0.00039274,0.000024508,195.118,100.38,78.24,89.5,81.26,70.6652,58.5,100
700,74.3,-13.3,9.6,0.00419594,0.01135916,0.004102,0,0.5557571474,0.028114,-0.00026231,0.000016521,198.261,99.1,76.3,91.6,82.84,71.6091,58.85,100
705,75.35,-13.1,9.05,0.00291086,0.008110916,0.002929,0,0.3968338843,0.019117,-0.00017512,0.000011124,201.359,97.7,74.36,92.3,83.84,72.979,60.34,100
710,76.4,-12.9,8.5,0.00199556,0.005790346,0.002091,0,0.2832979081,0.013305,-0.0001214,8.6965E-06,204.409,96.2,72.4,92.9,84.84,74.349,61.83,100
715,69.85,-11.75,7.75,0.00136702,0.004109457,0.001484,0,0.2010588914,0.0094092,-0.00008576,7.4351E-06,207.411,94.6,70.4,84.9,77.54,67.9765,56.57,100
